Timestep  Iteration  resNorm(0)  resNorm(1)  
101  1  0.0072111914190174  0.0024291504408326  
101  2  0.0000048709398538  0.0006128501121026  
102  1  0.0049636057314986  0.0039942768368099  
102  2  0.0000098500865946  0.0007588404196252  
103  1  0.0062526699585301  0.0055047957398118  
103  2  0.0000226055183792  0.0006871252332308  
104  1  0.0059771246597005  0.0047864169361659  
104  2  0.0000205214639130  0.0015069382423969  
104  3  0.0000221565247809  0.0001543553083936  
105  1  0.0047247786132091  0.0032045302877977  
105  2  0.0000135697001961  0.0007784833917560  
106  1  0.0065532918499742  0.0031288354378536  
106  2  0.0000087708899910  0.0005744859442020  
107  1  0.0052886961754551  0.0031806654880254  
107  2  0.0000188211816443  0.0005862366460425  
108  1  0.0050147812429743  0.0034883714798020  
108  2  0.0000138369182185  0.0007801492298658  
109  1  0.0055167208778500  0.0038724155011775  
109  2  0.0000134968844799  0.0009443379624693  
110  1  0.0056241403400680  0.0026492287443382  
110  2  0.0000127112963212  0.0004623950782089  
111  1  0.0054486915232562  0.0047719029736362  
111  2  0.0000200700102060  0.0006573541001377  
112  1  0.0053749731302173  0.0050861300611861  
112  2  0.0000240388352202  0.0009153983461239  
113  1  0.0054348669962451  0.0025794062673080  
113  2  0.0000155113545970  0.0009770618759198  
114  1  0.0054856612887327  0.0039420300870086  
114  2  0.0000241271713424  0.0007337085497152  
115  1  0.0051611290518292  0.0039624565223271  
115  2  0.0000211500254395  0.0006109586842288  
116  1  0.0039426396003084  0.0036913937567770  
116  2  0.0000220505859594  0.0009681588028785  
117  1  0.0052976305228927  0.0034920066150697  
117  2  0.0000213447408073  0.0010810407589105  
117  3  0.0000166546545073  0.0002847095266675  
118  1  0.0050011405505522  0.0023437641076862  
118  2  0.0000125798055145  0.0011841749411240  
118  3  0.0000106086682612  0.0004901274442750  
119  1  0.0042013884920266  0.0035002189580580  
119  2  0.0000179538174556  0.0007328994945571  
120  1  0.0056756370887059  0.0039558471006579  
120  2  0.0000123404723432  0.0010534101587260  
120  3  0.0000103443569468  0.0002532956345329  
121  1  0.0043062270980421  0.0018407969594782  
121  2  0.0000089716847131  0.0012126709937472  
121  3  0.0000066406219693  0.0003362783953055  
122  1  0.0045400049364332  0.0031297635542678  
